,ID,ROW_ID,PURCHASING_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,VENDOR_CODE,VENDOR_NAME,NET_PRICE,CURRENCY
176,.1~177,177,C2,01,18,01/18,2024-01-18T00:00:00,4,18,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.27,EUR
177,.1~178,178,C2,01,18,01/18,2024-01-18T00:00:00,4,18,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.34,EUR
178,.1~179,179,C2,01,18,01/18,2024-01-18T00:00:00,4,18,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.90,EUR
179,.1~180,180,C2,01,18,01/18,2024-01-18T00:00:00,4,18,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.75,EUR
180,.1~181,181,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
181,.1~182,182,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
182,.1~183,183,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
183,.1~184,184,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
184,.1~185,185,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.87,EUR
185,.1~186,186,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.01,EUR
186,.1~187,187,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.27,EUR
187,.1~188,188,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.34,EUR
188,.1~189,189,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.90,EUR
189,.1~190,190,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.75,EUR
190,.1~191,191,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
191,.1~192,192,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
192,.1~193,193,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
193,.1~194,194,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
194,.1~195,195,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.87,EUR
195,.1~196,196,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.01,EUR
196,.1~197,197,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.27,EUR
197,.1~198,198,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.34,EUR
198,.1~199,199,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.90,EUR
199,.1~200,200,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.75,EUR
200,.1~201,201,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
201,.1~202,202,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
202,.1~203,203,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
203,.1~204,204,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
204,.1~205,205,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.90,EUR
205,.1~206,206,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.13,EUR
206,.1~207,207,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.36,EUR
207,.1~208,208,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.46,EUR
208,.1~209,209,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.89,EUR
209,.1~210,210,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.77,EUR
210,.1~211,211,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
211,.1~212,212,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
212,.1~213,213,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
213,.1~214,214,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
214,.1~215,215,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.90,EUR
215,.1~216,216,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.13,EUR
216,.1~217,217,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.36,EUR
217,.1~218,218,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.46,EUR
218,.1~219,219,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.89,EUR
219,.1~220,220,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.77,EUR
220,.1~221,221,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
221,.1~222,222,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
222,.1~223,223,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
223,.1~224,224,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
224,.1~225,225,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.90,EUR
225,.1~226,226,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.13,EUR
226,.1~227,227,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.36,EUR
227,.1~228,228,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.46,EUR
228,.1~229,229,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.89,EUR
229,.1~230,230,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.77,EUR
230,.1~231,231,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
231,.1~232,232,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
232,.1~233,233,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
233,.1~234,234,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
234,.1~235,235,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.90,EUR
235,.1~236,236,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.13,EUR
236,.1~237,237,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.36,EUR
237,.1~238,238,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.46,EUR
238,.1~239,239,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.89,EUR
239,.1~240,240,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.77,EUR
240,.1~241,241,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
241,.1~242,242,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
242,.1~243,243,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
243,.1~244,244,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
244,.1~245,245,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.90,EUR
245,.1~246,246,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.13,EUR
246,.1~247,247,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.36,EUR
247,.1~248,248,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.46,EUR
248,.1~249,249,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.89,EUR
249,.1~250,250,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.77,EUR
250,.1~251,251,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
251,.1~252,252,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
252,.1~253,253,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
253,.1~254,254,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
254,.1~255,255,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.95,EUR
255,.1~256,256,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
256,.1~257,257,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.43,EUR
257,.1~258,258,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.48,EUR
258,.1~259,259,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.87,EUR
259,.1~260,260,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.71,EUR
260,.1~261,261,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
261,.1~262,262,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
262,.1~263,263,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
263,.1~264,264,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
264,.1~265,265,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.95,EUR
265,.1~266,266,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
266,.1~267,267,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.43,EUR
267,.1~268,268,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.48,EUR
268,.1~269,269,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.87,EUR
269,.1~270,270,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.71,EUR
270,.1~271,271,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
271,.1~272,272,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
272,.1~273,273,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
273,.1~274,274,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
274,.1~275,275,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.95,EUR
275,.1~276,276,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
276,.1~277,277,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.43,EUR
277,.1~278,278,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.48,EUR
278,.1~279,279,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.87,EUR
279,.1~280,280,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.71,EUR
280,.1~281,281,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
281,.1~282,282,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
282,.1~283,283,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
283,.1~284,284,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
284,.1~285,285,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.95,EUR
285,.1~286,286,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
286,.1~287,287,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.43,EUR
287,.1~288,288,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.48,EUR
288,.1~289,289,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.87,EUR
289,.1~290,290,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.71,EUR
290,.1~291,291,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
291,.1~292,292,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
292,.1~293,293,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
293,.1~294,294,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
294,.1~295,295,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.95,EUR
295,.1~296,296,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.19,EUR
296,.1~297,297,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.43,EUR
297,.1~298,298,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.48,EUR
298,.1~299,299,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.87,EUR
299,.1~300,300,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.71,EUR
300,.1~301,301,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
301,.1~302,302,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
302,.1~303,303,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
303,.1~304,304,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
304,.1~305,305,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.85,EUR
305,.1~306,306,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.22,EUR
306,.1~307,307,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.47,EUR
307,.1~308,308,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.56,EUR
308,.1~309,309,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.86,EUR
309,.1~310,310,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.69,EUR
310,.1~311,311,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
311,.1~312,312,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
312,.1~313,313,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
313,.1~314,314,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
314,.1~315,315,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.85,EUR
315,.1~316,316,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.22,EUR
316,.1~317,317,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.47,EUR
317,.1~318,318,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.56,EUR
318,.1~319,319,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.86,EUR
319,.1~320,320,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.69,EUR
320,.1~321,321,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
321,.1~322,322,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
322,.1~323,323,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
323,.1~324,324,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
324,.1~325,325,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.85,EUR
325,.1~326,326,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.22,EUR
326,.1~327,327,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.47,EUR
327,.1~328,328,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.56,EUR
328,.1~329,329,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.86,EUR
329,.1~330,330,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.69,EUR
330,.1~331,331,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
331,.1~332,332,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
332,.1~333,333,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
333,.1~334,334,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
334,.1~335,335,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.85,EUR
335,.1~336,336,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.22,EUR
336,.1~337,337,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.47,EUR
337,.1~338,338,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.56,EUR
338,.1~339,339,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.86,EUR
339,.1~340,340,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.69,EUR
340,.1~341,341,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
341,.1~342,342,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
342,.1~343,343,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
343,.1~344,344,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
344,.1~345,345,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.85,EUR
345,.1~346,346,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.22,EUR
346,.1~347,347,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.47,EUR
347,.1~348,348,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.56,EUR
348,.1~349,349,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.86,EUR
349,.1~350,350,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.69,EUR
350,.1~351,351,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
351,.1~352,352,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
352,.1~353,353,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
353,.1~354,354,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
